1;"Какие нормативные документы не могут приниматься по вопросам промышленной безопасности?";"Федеральные законы;Нормативные правовые акты Правительства Российской Федерации;Нормативные правовые акты Президента Российской Федерации;trueНормативные правовые акты субъектов Российской Федерации"
1;"Что является основанием для включения опасных производственных объектов II класса опасности в ежегодный план проведения плановых проверок?";"Истечение трех лет со дня принятия объекта в эксплуатацию;trueИстечение одного года со дня окончания проведения последней плановой проверки;Истечение двух лет с момента регистрации опасного производственного объекта в государственном реестре;Истечение пяти лет со дня окончания проведения последней плановой проверки"
1;"При строительстве и реконструкции каких объектов капитального строительства осуществляется государственный строительный надзор?";"trueПри строительстве объектов капитального строительства, проектная документация которых подлежит экспертизе в соответствии со статьей 49 Градостроительного кодекса Российской Федерации;При строительстве любых объектов;Только при строительстве объектов, которые в соответствии с Градостроительным кодексом Российской Федерации являются особо опасными, технически сложными или уникальными;Только при строительстве объектов, общая площадь которых составляет более 1500 м²"
1;"Какие требования устанавливает Технический регламент Таможенного союза «О безопасности машин и оборудования»?";"Обеспечение безопасности эксплуатации машин и оборудования;Условия свободного перемещения машин и оборудования, выпускаемого в обращение на единой таможенной территории;trueОбеспечение на единой таможенной территории Таможенного союза обязательных для применения и исполнения минимально необходимых требований к машинам и оборудованию"
1;"Какие из перечисленных документов (или копий документов) не входят в перечень документов, которые соискатель должен представлять в лицензирующий орган для получения лицензии на проведение экспертизы промышленной безопасности?";"trueКопии ранее выданных заключений экспертизы промышленной безопасности;Копии приказов о приеме на работу экспертов, заверенные соискателем лицензии;Реквизиты квалификационных удостоверений экспертов;Копии документов, подтверждающих наличие у соискателя лицензии необходимых для осуществления лицензируемой деятельности и принадлежащих ему на праве собственности или на ином законном основании по месту осуществления лицензируемой деятельности зданий или нежилых помещений, права на которые не зарегистрированы в Едином государственном реестре прав на недвижимое имущество и сделок с ним (в случае, если такие права зарегистрированы в указанном реестре, представляются сведения об этих зданиях или помещениях)"
1;"В каком из приведенных положений указан самый полный перечень документов, которые обязан направлять страхователь при заключении договора обязательного страхования в отношении опасных производственных объектов?";"Документы, содержащие необходимые для определения размера страховой премии сведения об опасном объекте;Документы, содержащие необходимые для определения размера страховой премии сведения об опасном объекте, уровне его безопасности, о вреде, который может быть причинен в результате аварии на опасном объекте;trueДокументы, содержащие необходимые для определения размера страховой премии сведения об опасном объекте, уровне его безопасности, о вреде, который может быть причинен в результате аварии на опасном объекте, и максимально возможном количестве потерпевших;Документы о максимально возможном количестве потерпевших"
1;"В какой срок опасные производственные объекты, вводимые в эксплуатацию, должны быть внесены в государственный реестр?";"Не позднее трех месяцев с даты начала их эксплуатации;В течение 40 рабочих дней с даты начала их эксплуатации;trueНе позднее 20 рабочих дней со дня поступления в регистрирующий орган сведений, характеризующих каждый объект;Срок не регламентирован"
1;"В отношении каких объектов предусмотрена разработка планов мероприятий по локализации и ликвидации последствий аварий на опасных производственных объектах?";"Всех опасных производственных объектов;Опасных производственных объектов I и II классов опасности;trueОпасных производственных объектов I, II и III классов опасности, предусмотренных пп. 1, 4, 5 и 6 приложения 1 к Федеральному закону от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов»"
1;"Кто должен разрабатывать Положение о производственном контроле?";"Только эксплуатирующая организация;Только структурные подразделения эксплуатирующей организации;trueЭксплуатирующая организация и обособленные подразделения юридического лица в случаях, предусмотренных положениями об обособленных подразделениях"
1;"Что из перечисленного не подлежит экспертизе промышленной безопасности?";"trueДокументация на капитальный ремонт опасного производственного объекта;Технические устройства, применяемые на опасном производственном объекте;Здания и сооружения на опасном производственном объекте, предназначенные для технологических процессов, хранения сырья или продукции, перемещения людей и грузов, локализации и ликвидации последствий аварий;Декларация промышленной безопасности опасного производственного объекта;Обоснование безопасности опасного производственного объекта и изменения к обоснованию безопасности опасного производственного объекта"
